ID,set1,set2,set3,set4,set5,set6,set7,set8,set9,set10,set11,set12,set13,set14,set15
338,4,5,0,6,5,3,1,0,2,6,4,0,3,0,5
339,6,7,0,6,7,7,0,0,4,5,5,2,2,0,5
340,4,4,4,3,4,7,2,0,0,4,4,4,0,4,3
341,4,5,0,6,4,7,0,0,0,4,4,0,0,0,5
342,4,5,0,6,6,6,0,0,0,4,4,1,4,0,4
343,6,5,0,6,4,5,0,4,0,0,1,6,0,2,7
344,4,1,0,7,6,3,0,0,0,4,4,0,0,2,5
345,4,1,2,6,4,7,0,0,0,4,4,0,0,2,5
346,6,4,0,6,4,3,0,0,2,4,4,0,0,1,0
347,5,5,0,6,4,3,4,0,4,4,5,2,0,2,5
348,4,1,0,6,5,7,0,0,0,4,6,0,0,0,5
349,6,5,0,6,4,7,0,1,0,4,4,0,1,1,4
350,0,5,0,6,4,7,0,0,0,4,4,0,2,0,1
351,4,7,0,6,0,3,0,0,0,4,4,1,0,0,7
352,4,4,0,6,4,7,0,0,1,6,0,2,1,0,5
353,4,5,0,4,4,7,0,1,0,5,6,0,0,1,5
354,0,5,0,6,4,3,0,0,4,4,6,0,1,0,4
355,4,1,1,6,4,7,1,1,1,4,0,1,2,0,7
356,4,6,0,6,4,7,0,6,0,0,6,0,0,1,5
357,4,5,0,6,6,5,1,2,0,5,4,0,1,1,1
358,6,7,0,7,0,7,0,0,0,2,4,0,2,5,3
359,6,5,0,6,4,6,0,0,0,4,4,0,0,0,5
360,4,7,0,6,4,7,4,0,0,5,4,0,0,0,5
361,4,1,1,6,4,7,0,4,0,4,4,0,4,4,5
362,4,5,0,2,0,7,0,2,1,6,0,1,1,0,5
363,0,1,0,6,0,3,0,0,0,4,5,0,0,4,5
364,6,4,0,6,4,7,0,0,3,4,4,4,0,2,5
365,6,5,0,3,4,7,0,2,0,4,0,2,2,0,5
366,4,5,0,6,4,5,0,0,0,4,4,0,0,0,7
367,4,5,1,6,4,7,1,0,0,0,6,0,0,1,5
368,4,5,1,6,4,7,0,0,0,4,4,0,0,0,5
369,5,5,1,7,4,7,0,0,0,4,6,0,0,3,1
370,4,1,0,6,4,5,4,0,0,0,4,1,0,4,5
371,4,5,1,6,6,3,4,4,7,0,5,4,0,4,1
372,6,5,4,6,4,5,4,0,0,4,4,0,1,4,4
373,4,7,0,4,4,7,3,0,0,0,4,4,0,0,5
374,4,5,1,2,0,5,0,4,0,4,2,0,0,3,1
375,4,1,0,6,6,7,2,4,0,4,0,6,0,2,5
376,4,5,0,6,4,3,4,0,0,5,0,1,0,2,5
377,6,5,0,6,4,7,0,0,0,5,4,0,0,0,5
378,6,4,4,4,4,6,0,0,2,4,1,4,0,0,5
379,4,1,0,6,0,4,0,0,2,4,4,0,0,0,4
380,4,7,0,6,6,7,0,0,0,4,4,4,2,3,5
381,2,5,0,6,4,5,2,6,2,4,4,0,0,4,5
382,4,5,2,6,4,3,0,0,0,4,5,0,2,0,3
383,6,1,0,6,4,3,4,4,2,4,5,0,4,2,5
384,4,7,0,4,5,6,0,0,0,4,3,4,0,0,7
385,4,1,0,6,6,7,0,6,2,4,4,0,1,1,5
386,6,5,4,6,0,7,0,6,4,1,4,2,0,0,5
387,4,1,2,7,4,6,4,0,0,5,4,0,0,0,7
388,4,5,0,6,0,7,0,0,0,5,1,0,0,0,5
389,4,4,0,7,5,7,4,0,0,4,4,0,0,4,5
390,4,5,0,6,4,7,0,1,6,0,4,4,0,1,5
391,4,5,0,4,4,7,0,0,0,5,4,2,0,0,5
392,4,5,2,6,4,7,0,2,0,4,4,0,2,0,5
393,4,5,0,6,4,7,1,2,0,7,4,1,0,0,5
394,0,4,0,4,4,7,0,0,2,6,4,6,2,0,5
395,4,4,5,3,4,7,0,2,0,5,4,6,1,0,5
396,4,4,0,6,4,7,0,4,0,4,0,4,2,0,5
397,4,5,4,6,0,7,4,2,0,0,4,0,0,5,7
398,7,5,1,6,4,3,0,0,0,4,4,5,4,0,5
399,6,4,0,6,5,7,4,0,2,4,4,0,0,0,5
400,4,5,0,6,4,5,0,2,1,6,4,0,4,0,7
401,0,5,0,2,4,7,0,0,0,4,5,0,0,2,5
402,5,5,0,2,4,7,0,0,0,0,4,0,0,0,5
403,4,7,0,2,4,5,4,0,0,4,5,3,4,0,5
404,4,5,1,5,4,6,0,0,0,4,0,1,0,4,4
405,4,5,1,6,4,7,2,0,1,4,4,0,0,4,5
406,6,7,0,6,2,7,0,1,0,4,4,2,1,0,5
407,4,1,0,6,6,6,4,2,0,4,4,0,0,1,5
408,6,0,0,6,0,7,0,0,0,4,1,0,0,0,5
409,4,7,0,6,4,7,0,2,0,4,5,2,0,0,7
410,6,1,0,7,5,7,0,1,1,1,2,5,0,0,1
411,4,1,0,6,4,7,0,0,0,4,4,4,2,0,5
412,4,1,1,6,4,7,0,0,0,4,4,0,0,0,5
413,4,5,0,6,0,7,4,0,0,4,0,0,0,2,5
414,4,5,0,6,4,6,0,0,4,2,4,5,0,1,6
415,4,5,2,6,4,7,1,2,0,4,0,1,0,0,5
416,6,5,2,4,4,3,0,0,0,4,6,0,0,0,0
417,0,4,4,6,4,7,0,2,0,4,6,0,6,0,5
418,7,5,1,6,5,7,0,0,0,4,4,0,0,1,5
419,4,5,0,6,4,7,0,0,0,4,4,1,0,2,5
420,4,5,0,2,2,3,0,4,0,0,0,0,0,0,5
421,4,1,0,6,4,7,1,0,4,4,5,0,0,0,5
422,4,0,0,6,4,7,0,4,1,4,0,0,0,1,5
423,5,7,4,6,1,5,0,0,1,6,5,0,2,0,5
424,4,7,0,6,4,3,1,0,0,4,4,3,0,0,5
425,4,5,0,6,4,7,0,0,0,0,4,0,2,5,1
426,4,7,4,4,4,3,2,4,0,5,4,0,5,0,5
427,4,7,0,6,4,7,0,0,0,4,5,0,1,1,4
428,0,5,1,6,0,6,2,2,0,4,5,5,1,0,5
429,4,7,0,7,4,7,0,0,0,4,0,0,0,0,4
